Text Length     Pattern Length  Naive Search Time (ms)   Rabin-Karp Time (ms)
500000          10              3.910946846008301         15.64326286315918        
1000000         10              7.041501998901367         21.724295616149902       
2500000         10              15.896463394165039        45.61512470245361        
5000000         10              33.36822986602783         88.3784294128418
1000            25              0.0                       0.0
5000            25              0.0                       0.3949165344238281       
100000          25              0.49026012420654297       3.3512353897094727       
500000          25              3.8667917251586914        26.536941528320312       
1000000         25              7.4985504150390625        41.04490280151367        
2500000         25              16.033101081848145        111.65509223937988       
5000000         25              34.78059768676758         204.5018434524536        
1000            50              0.0                       0.09999275207519531      
5000            50              0.0                       0.0
100000          50              0.49800872802734375       4.706454277038574        
500000          50              3.9052724838256836        24.7206449508667
